shape,texture,weight,size,label
1.646,0.401,-0.308,-0.32,Apple
-0.899,0.663,-1.499,-0.183,Banana
1.066,-1.344,-0.775,0.237,Lemon
0.343,-0.88,-0.228,-0.144,Lemon
0.534,-1.25,1.106,1.675,Watermelon
0.733,-0.773,-0.853,-0.783,Grape
1.238,-0.896,-1.186,-0.925,Grape
1.442,-0.683,-1.008,-1.359,Grape
1.652,-0.946,0.077,-0.19,Orange
1.03,-1.525,-1.053,0.238,Orange
0.627,-0.928,-1.037,-0.816,Lemon
1.372,-0.391,0.783,1.235,Watermelon
1.067,-0.642,-0.352,-1.159,Grape
1.034,-0.867,-0.606,-0.02,Lemon
1.102,-0.634,-0.517,-0.563,Grape
1.421,-2.0,-0.146,-0.126,Orange
0.988,1.213,-0.209,-0.063,Apple
0.906,-0.476,1.273,1.19,Watermelon
0.773,-0.595,-0.242,-0.539,Lemon
1.347,-0.939,0.371,0.184,Orange
0.781,-0.184,0.264,1.223,Watermelon
0.756,0.059,-0.912,-1.278,Grape
0.907,0.75,-0.407,-0.415,Apple
0.737,1.095,-0.163,-0.649,Apple
0.42,-0.891,1.186,1.256,Watermelon
1.193,-0.05,-0.651,-0.062,Grape
2.0,0.385,-1.069,-0.303,Apple
1.176,-0.627,-0.754,-1.095,Grape
0.757,-0.79,-1.07,-0.705,Grape
-1.17,0.899,-0.8,0.23,Banana
-0.609,0.678,-1.398,0.407,Banana
0.742,-1.303,-0.13,0.174,Lemon
0.78,1.521,-1.134,0.077,Apple
0.7,-0.658,-0.636,-0.224,Orange
-1.284,0.925,-0.36,0.262,Banana
1.739,0.865,0.222,-0.869,Apple
0.9,-0.788,-0.462,-0.935,Grape
0.269,-1.459,0.646,1.327,Watermelon
1.282,0.895,-0.492,-0.049,Apple
0.205,-0.84,-0.47,-0.596,Lemon
-0.861,1.036,-0.826,-0.167,Banana
-0.785,1.359,-0.888,0.51,Banana
0.562,-0.688,-0.577,-0.902,Lemon
1.287,-1.572,1.099,0.866,Watermelon
0.843,-0.94,-0.548,-0.021,Orange
1.02,-1.216,0.168,-0.128,Orange
1.221,-0.104,-0.51,-0.797,Grape
0.894,-1.5,1.072,1.383,Watermelon
1.124,-2.0,0.005,0.126,Orange
0.895,-0.654,1.22,0.76,Watermelon
1.445,-1.044,-1.02,-1.055,Grape
0.711,1.106,0.159,0.137,Apple
1.253,-1.594,-0.768,-0.142,Orange
0.988,-1.174,0.367,-0.163,Orange
1.19,-0.654,1.019,1.907,Watermelon
0.271,-1.212,-0.93,0.047,Lemon
1.281,0.81,-0.602,0.185,Apple
-0.873,1.494,-1.021,0.479,Banana
1.105,-1.218,-0.35,-0.615,Orange
1.173,-0.334,-0.653,-0.767,Grape
0.955,-0.057,-0.688,-0.514,Grape
1.508,-1.044,-0.164,0.071,Orange
-1.402,0.606,-1.455,0.262,Banana
0.883,0.498,-0.248,-0.333,Apple
1.414,1.705,-0.14,-0.544,Apple
1.226,1.003,-0.384,-0.602,Apple
0.838,-1.062,1.281,1.179,Watermelon
1.639,-0.764,-0.151,-0.307,Orange
0.637,0.801,-0.545,-1.196,Apple
0.247,-0.439,-0.471,-0.632,Lemon
1.139,0.316,-0.201,0.147,Apple
0.958,-1.62,-0.445,0.248,Orange
1.091,0.504,0.529,-0.739,Apple
-1.085,0.637,-1.363,0.142,Banana
1.223,-0.548,0.865,0.646,Watermelon
1.168,-0.422,-0.916,-0.903,Grape
0.561,-0.966,-0.664,-0.125,Lemon
1.38,-0.937,-0.602,-0.41,Lemon
0.77,1.268,-0.146,-0.447,Apple
1.316,-0.993,0.66,1.123,Watermelon
0.683,-0.664,-0.309,-0.538,Lemon
0.835,-0.999,-0.173,-0.031,Orange
-0.895,0.968,-0.651,0.064,Banana
1.468,-0.733,-0.995,-0.435,Lemon
1.27,-0.722,-1.523,-1.364,Grape
1.19,-1.214,-1.507,-0.812,Grape
-1.078,0.756,-1.173,-0.215,Banana
0.77,-1.282,-0.788,-0.379,Lemon
0.91,-1.247,-0.996,-0.071,Orange
1.028,0.819,-0.663,-0.296,Apple
1.168,-0.566,-0.427,-0.753,Grape
0.962,1.258,-0.283,-0.284,Apple
-0.546,0.686,-0.992,0.716,Banana
-0.892,0.871,-1.597,-0.495,Banana
1.727,-0.892,-0.504,-0.078,Orange
0.268,-1.116,-0.929,-0.995,Lemon
0.263,-1.159,-0.643,-1.345,Grape
1.187,-0.665,-0.294,-0.304,Orange
1.047,-0.746,-0.579,-0.343,Grape
1.507,-1.353,-1.153,-0.999,Grape
1.162,-1.605,-0.91,0.257,Orange
0.804,-1.521,-0.686,-0.063,Orange
0.312,-0.915,-0.943,-1.11,Lemon
1.499,1.139,-0.417,-0.482,Apple
1.513,-0.793,1.401,0.796,Watermelon
1.018,-0.459,-1.193,-1.033,Grape
0.796,1.14,-0.762,-0.1,Apple
1.109,0.929,-0.143,-0.428,Apple
0.765,-0.41,-0.795,-1.178,Grape
0.392,-1.064,-0.793,0.034,Lemon
-0.889,1.005,-1.326,0.559,Banana
0.786,-1.228,-0.03,-0.064,Orange
-1.876,0.945,-0.956,0.181,Banana
1.056,0.367,-1.291,-0.641,Apple
1.099,-2.0,-0.595,-0.873,Orange
0.915,-0.315,-0.376,-0.238,Orange
1.294,-0.593,-1.075,-0.676,Grape
1.165,-0.899,-0.349,-0.321,Orange
1.321,-1.118,0.131,-0.567,Orange
1.502,-0.835,-0.639,-0.022,Orange
-1.228,1.012,-1.17,0.253,Banana
1.33,-0.819,0.606,0.626,Watermelon
1.095,-0.48,-1.236,-0.443,Grape
1.285,-1.219,0.747,0.92,Watermelon
-1.116,1.44,-0.655,0.312,Banana
1.237,-0.312,-0.98,-0.859,Grape
1.208,-0.829,0.727,0.763,Watermelon
0.899,0.753,-0.816,-0.063,Apple
1.121,-1.069,-1.084,-1.065,Grape
1.064,0.621,-0.774,-0.118,Apple
-1.537,0.919,-1.114,0.257,Banana
1.088,-0.441,0.44,1.307,Watermelon
-0.279,-0.512,-1.315,0.353,Lemon
-1.136,1.452,-0.621,0.147,Banana
0.874,-0.893,-0.724,-1.148,Grape
-1.287,1.188,-1.314,0.185,Banana
1.037,-1.225,0.828,1.537,Watermelon
0.929,-0.726,-1.061,-0.841,Grape
0.238,-0.85,-0.51,-1.126,Lemon
1.228,-0.489,-0.88,-0.893,Lemon
1.08,-1.099,-0.523,-1.164,Grape
-0.432,0.711,-1.039,0.744,Banana
0.487,-0.905,-0.218,-0.695,Lemon
0.558,-1.111,-0.796,-0.864,Grape
-0.628,0.904,-1.501,-0.523,Banana
2.0,-0.816,1.048,1.098,Watermelon
0.099,-1.278,0.01,-0.27,Lemon
-1.267,0.571,-1.18,0.19,Banana
1.717,-0.666,-1.416,-1.021,Grape
1.093,-1.448,1.141,1.423,Watermelon
-0.951,0.721,-1.185,-0.281,Banana
-1.047,1.109,-1.314,0.979,Banana
-0.723,0.373,-1.62,-0.044,Banana
1.551,-0.288,-0.432,-0.996,Grape
0.527,-1.437,-0.478,-0.569,Lemon
0.518,-0.434,-0.644,-0.034,Lemon
0.444,0.341,-1.131,-0.752,Grape
-0.697,0.826,-0.713,0.605,Banana
0.35,-1.245,-0.584,-0.54,Lemon
1.488,1.246,-0.325,-0.088,Apple
0.284,0.785,-0.199,0.09,Apple
1.07,-0.09,-0.696,-1.171,Grape
0.951,-0.457,-1.157,-0.464,Grape
0.212,-0.889,-0.343,-0.61,Lemon
0.811,0.973,-0.016,-0.475,Apple
0.626,1.403,-0.16,0.053,Apple
1.266,0.163,-0.61,-1.253,Grape
-0.835,0.805,-1.159,-0.194,Banana
-1.1,1.191,-1.023,-0.085,Banana
0.467,1.739,-0.186,-0.588,Apple
1.162,-0.234,1.217,0.025,Watermelon
-0.072,0.353,-1.072,-0.097,Banana
0.741,-0.5,-1.725,-1.032,Grape
1.002,-1.295,-1.087,-0.549,Lemon
0.882,0.792,-0.716,-0.118,Apple
1.208,-1.373,-0.625,-0.152,Orange
0.662,-0.937,0.214,-0.221,Orange
0.575,-0.463,-1.062,-1.053,Grape
1.166,1.242,-0.288,-0.321,Apple
1.722,-0.58,1.292,1.046,Watermelon
0.648,1.395,-0.249,-0.502,Apple
0.915,-1.338,0.07,0.039,Orange
1.064,-0.615,-1.238,-1.746,Grape
0.105,-1.26,-0.913,-0.399,Lemon
0.884,-1.045,-0.107,-0.774,Lemon
0.953,0.982,0.082,-0.263,Apple
1.047,-1.579,-0.615,0.184,Orange
0.274,-0.53,-0.125,-0.462,Orange
-1.291,1.664,-0.506,0.258,Banana
0.647,-1.226,-0.553,-0.736,Lemon
0.573,-0.366,-0.633,-0.867,Lemon
0.122,-0.956,-0.866,-0.414,Lemon
-1.567,1.242,-1.371,0.316,Banana
-1.118,1.601,-0.94,0.981,Banana
0.796,-0.501,-0.673,-0.379,Lemon
1.427,1.317,-0.114,-0.415,Apple
0.944,-0.202,-0.529,-1.208,Grape
0.74,-1.316,-0.01,-0.525,Orange
1.286,-0.809,-0.491,0.347,Orange
0.488,1.581,-0.188,-1.026,Apple
1.557,-0.26,-1.15,-1.338,Grape
0.451,-0.155,-0.623,-0.642,Orange
1.094,-1.173,-1.344,-0.652,Grape
-0.838,0.865,-0.994,0.145,Banana
0.978,-1.267,-0.503,-0.414,Orange
0.346,-0.635,-0.33,-0.826,Lemon
0.182,-1.055,0.154,-0.86,Lemon
0.544,-0.969,-0.638,-0.66,Lemon
-0.596,1.159,-0.704,0.506,Banana
0.913,-0.445,-0.134,0.314,Lemon
1.026,-1.234,-0.303,-0.251,Lemon
1.272,-1.339,-0.405,-0.738,Lemon
1.179,-1.075,1.168,0.506,Watermelon
1.278,-0.528,-0.947,-0.317,Grape
0.466,-0.88,-0.565,-0.431,Lemon
1.778,-0.578,-1.199,-0.345,Grape
-1.108,0.438,-1.259,-0.136,Banana
0.37,-0.727,-1.025,-0.587,Grape
1.22,-0.796,0.687,1.31,Watermelon
1.487,-0.862,-0.152,-0.643,Orange
1.369,1.623,-0.187,-0.508,Apple
0.943,-1.147,-0.426,0.027,Orange
1.098,-0.249,-0.87,-1.302,Grape
-1.175,0.803,-1.065,0.928,Banana
1.684,1.293,-0.258,-0.777,Apple
1.077,0.723,0.271,-0.862,Apple
1.135,0.694,-0.303,-0.067,Apple
-0.642,0.979,-0.734,0.068,Banana
-0.914,1.351,-0.884,0.115,Banana
-1.098,1.355,-1.382,-0.031,Banana
1.211,-1.154,-0.809,0.273,Orange
0.615,0.93,-0.517,-0.404,Apple
0.69,-0.75,-0.261,0.144,Orange
0.787,-0.253,-0.967,-0.755,Orange
-0.386,1.166,-0.881,0.451,Banana
-0.8,1.105,-1.338,0.586,Banana
1.231,1.5,0.317,-0.184,Apple
0.57,0.02,-1.356,-0.882,Grape
-1.09,0.849,-0.732,0.386,Banana
0.78,-1.285,-0.661,-0.769,Lemon
0.93,0.958,0.346,-0.391,Apple
-1.744,1.488,-0.843,0.254,Banana
0.847,-1.331,0.378,-0.182,Orange
0.392,-0.885,1.422,1.055,Watermelon
0.684,-1.347,0.679,1.533,Watermelon
0.975,-1.588,-0.166,-0.151,Orange
0.843,-1.357,-0.672,0.18,Orange
1.087,-0.432,-0.914,-0.885,Grape
0.836,-1.072,1.408,1.495,Watermelon
0.172,-1.073,-0.306,0.159,Lemon
-0.376,0.721,-0.554,0.321,Banana
1.366,-0.724,0.558,1.192,Watermelon
1.352,-0.607,-1.086,-1.55,Grape
1.239,-0.527,-1.323,-1.114,Grape
1.054,0.804,-0.299,-0.912,Apple
1.472,-0.994,0.615,0.139,Watermelon
1.36,-0.805,1.074,1.302,Watermelon
1.301,-0.932,-0.389,-0.346,Orange
1.147,-0.511,-0.336,0.317,Orange
0.731,-0.867,0.242,0.078,Lemon
-0.412,0.721,-0.233,0.271,Banana
-1.08,0.244,-0.886,-0.079,Banana
0.743,-1.407,0.029,-0.307,Lemon
1.798,-1.358,1.542,0.369,Watermelon
1.073,-1.221,0.843,0.819,Watermelon
0.68,-1.441,-0.455,-0.159,Orange
1.407,-0.897,0.108,-0.717,Orange
0.848,1.249,-0.18,-0.601,Apple
0.927,-1.186,-0.872,-0.33,Lemon
0.602,-1.183,-0.795,-0.874,Lemon
-1.139,1.385,-0.914,0.636,Banana
0.781,-1.214,-1.177,-0.824,Lemon
0.765,0.738,0.043,0.04,Apple
1.774,-1.267,1.559,1.557,Watermelon
0.519,-0.834,-0.166,-0.521,Lemon
0.952,-1.22,0.174,1.025,Watermelon
0.752,0.624,-0.152,-0.808,Apple
1.282,-0.431,-1.14,-1.022,Grape
-1.417,1.263,-0.934,0.392,Banana
-0.824,0.775,-1.532,0.635,Banana
1.241,-1.187,-0.157,0.24,Orange
0.999,-1.198,-1.121,-0.961,Lemon
-1.109,1.512,-1.255,0.091,Banana
0.784,0.814,-0.304,-0.748,Apple
1.38,-1.051,0.568,-0.611,Orange
1.556,-0.513,0.856,0.862,Watermelon
0.678,-0.918,-1.0,-0.993,Grape
0.439,0.203,-1.091,-0.977,Grape
0.781,0.907,-0.425,-0.301,Apple
-1.005,1.282,-0.92,0.546,Banana
0.997,-0.919,0.916,1.351,Watermelon
1.113,-1.055,-0.366,-0.238,Orange
1.011,0.98,-0.496,-0.032,Apple
1.29,1.624,-0.511,-0.067,Apple
-1.668,1.29,-1.51,-0.045,Banana
1.116,0.782,-0.565,-0.47,Apple
-0.745,0.673,-1.019,0.167,Banana
1.287,-0.303,-1.642,-0.634,Grape
0.786,-0.517,-1.329,-0.87,Grape
1.893,1.045,-0.461,-0.381,Apple
0.486,-0.493,1.11,0.633,Watermelon
0.244,-0.995,-0.274,-0.903,Lemon
1.39,-1.032,0.674,0.836,Watermelon
1.212,-1.486,-0.856,-0.167,Lemon
1.076,-1.277,1.338,1.354,Watermelon
1.116,0.786,-0.46,-0.2,Apple
0.541,-0.535,1.595,0.917,Watermelon
1.125,-0.585,1.684,1.545,Watermelon
0.393,-0.71,-0.825,-1.173,Grape
1.624,-0.03,-1.286,-1.057,Grape
0.738,-1.068,0.921,1.334,Watermelon
0.289,-1.916,-1.162,-0.86,Lemon
-1.229,1.066,-1.378,-0.124,Banana
-1.325,0.61,-1.194,0.091,Banana
-0.759,0.654,-1.125,0.109,Banana
1.283,-1.054,0.068,-0.603,Orange
-1.017,0.798,-1.429,0.276,Banana
1.607,-1.299,-0.345,-0.659,Orange
-1.511,0.724,-1.157,0.158,Banana
0.921,-1.577,0.781,1.176,Watermelon
0.525,-1.124,-0.198,-0.474,Orange
1.12,-1.132,-0.689,-0.872,Grape
1.019,-0.206,-1.115,-1.216,Grape
1.48,-0.356,-0.543,-0.24,Orange
-0.634,0.973,-0.792,0.573,Banana
0.803,-0.453,-1.002,-1.426,Grape
0.654,-0.828,-0.675,-0.664,Grape
1.262,-0.446,-0.856,-0.903,Grape
0.743,-0.834,-1.092,-0.777,Lemon
0.64,-0.212,-0.421,-1.759,Grape
1.148,-0.97,-0.246,-0.323,Lemon
1.504,-0.927,-0.777,-0.237,Orange
1.18,-1.076,-0.07,-0.223,Orange
-1.208,0.62,-1.137,0.372,Banana
-1.686,0.727,-1.699,0.084,Banana
1.419,-1.015,-0.754,-0.003,Grape
1.509,-0.553,-0.7,-1.479,Grape
0.449,-0.59,-0.86,-0.617,Grape
-1.199,1.068,-0.944,0.254,Banana
0.975,-1.299,-0.202,-0.132,Orange
-1.154,1.233,-0.64,0.537,Banana
0.235,-0.965,-0.919,-0.466,Lemon
-1.318,1.447,-0.726,0.704,Banana
1.368,-1.095,0.851,1.61,Watermelon
0.942,0.526,0.053,-0.25,Apple
1.127,-0.915,-0.607,0.034,Lemon
0.062,-1.205,-0.911,-1.268,Lemon
1.306,-1.195,1.317,1.136,Watermelon
-0.788,0.841,-1.267,0.331,Banana
1.322,-1.018,0.754,0.58,Watermelon
-0.929,0.806,-1.025,0.216,Banana
0.844,1.103,-0.106,0.388,Apple
-0.735,1.558,-1.287,-0.26,Banana
0.995,-0.7,1.245,1.424,Watermelon
0.112,1.439,-0.183,-0.84,Apple
1.253,-0.941,1.133,1.35,Watermelon
-0.849,0.485,-1.05,-0.266,Banana
1.227,-0.511,0.565,0.765,Watermelon
0.691,-1.159,1.144,0.845,Watermelon
1.228,-0.627,0.086,-0.591,Orange
1.085,-0.487,-0.057,-0.555,Lemon
0.737,-0.944,-1.386,-0.996,Grape
1.297,-0.543,0.83,0.986,Watermelon
0.964,-1.222,1.258,1.127,Watermelon
1.05,-0.875,-0.085,0.012,Orange
0.707,1.314,-0.211,-0.452,Apple
1.082,-0.479,-0.621,-1.366,Grape
1.464,-0.592,-1.177,-1.188,Grape
0.65,-1.609,-0.063,0.493,Orange
-1.566,0.667,-0.737,0.284,Banana
1.292,-1.036,0.797,0.921,Watermelon
0.166,-1.4,1.332,1.417,Watermelon
1.492,-0.846,0.21,0.778,Watermelon
1.064,-0.432,-0.123,-0.583,Lemon
-1.457,0.986,-0.995,0.848,Banana
1.08,-0.594,-0.974,-0.86,Grape
1.219,0.746,-0.67,0.18,Apple
0.426,1.573,-0.969,-0.505,Apple
1.34,-1.0,-0.761,-0.051,Orange
1.023,-0.676,-1.218,-1.012,Grape
0.796,-0.148,0.916,0.869,Watermelon
0.81,-0.378,0.426,1.126,Watermelon
0.916,-1.498,-0.587,-0.089,Orange
0.697,-0.909,0.305,-0.14,Orange
0.491,0.704,-0.4,-0.423,Apple
1.053,-0.491,-0.394,-1.001,Grape
0.597,1.404,0.142,-0.219,Apple
-1.086,1.218,-1.074,-0.419,Banana
-0.803,1.312,-0.496,0.044,Banana
1.079,-0.513,-0.97,-0.96,Grape
-0.987,1.074,-0.741,0.727,Banana
0.735,0.94,-0.448,-0.498,Apple
0.434,1.008,-0.132,-0.354,Apple
0.997,-0.454,-0.506,-1.147,Grape
0.59,-0.632,-0.341,-1.406,Grape
1.228,-0.595,-1.128,-0.056,Orange
-0.789,0.906,-1.226,0.093,Banana
0.885,-1.106,-0.472,-0.321,Orange
1.417,-1.425,-0.912,0.222,Orange
-1.067,0.864,-1.039,0.373,Banana
0.817,1.177,-0.637,-0.406,Apple
-1.775,1.41,-1.062,0.535,Banana
1.167,1.192,-0.303,-0.164,Apple
0.664,-1.01,-1.035,-1.238,Grape
1.099,-0.869,-0.851,-0.595,Lemon
1.047,-1.024,1.095,1.024,Watermelon
0.513,-1.353,-1.131,-0.804,Grape
0.873,-0.567,0.984,1.475,Watermelon
1.403,-0.632,-0.721,-0.194,Orange
-0.572,1.095,-0.806,-0.186,Banana
1.672,-1.277,0.302,0.877,Watermelon
-1.857,0.62,-0.105,0.167,Banana
0.5,-0.991,0.686,1.303,Watermelon
0.689,-0.505,-1.401,-0.09,Grape
1.176,-1.051,0.897,0.806,Watermelon
0.734,-1.276,0.287,-0.393,Orange
0.255,-1.008,-0.675,-1.088,Grape
0.553,-0.591,-0.872,-0.279,Lemon
0.366,-0.798,-0.737,-0.585,Lemon
1.287,-0.738,0.942,0.835,Watermelon
1.16,-0.794,-0.737,-0.729,Lemon
1.359,1.04,-0.357,-0.26,Apple
-0.882,0.98,-0.579,0.741,Banana
1.186,-0.519,-0.297,0.042,Orange
0.952,-0.643,-0.279,-0.279,Lemon
1.685,-1.189,-0.354,-0.275,Orange
-1.129,0.304,-0.519,-0.059,Banana
0.659,-1.498,-0.383,-0.775,Lemon
0.202,-0.932,-0.845,-0.701,Lemon
0.66,-0.72,-0.886,-0.847,Lemon
0.608,-0.811,-0.088,-0.875,Lemon
0.489,-0.588,0.091,-0.848,Lemon
0.741,-0.867,-0.502,-0.466,Orange
-0.914,1.542,-1.458,0.824,Banana
0.799,1.121,0.257,-0.186,Apple
-1.104,1.251,-1.061,0.482,Banana
0.928,-0.699,-0.788,-0.555,Orange
0.507,0.98,-0.835,-0.542,Apple
0.212,-0.482,-0.947,-0.95,Lemon
-0.913,1.59,-1.041,0.286,Banana
-0.548,1.307,-0.851,0.096,Banana
1.16,-1.076,-1.218,-0.499,Grape
1.456,-0.847,0.325,0.577,Watermelon
0.762,0.94,-0.738,-0.386,Apple
1.619,-0.46,-0.923,-1.356,Grape
0.426,0.57,-0.888,-0.274,Apple
1.134,-1.338,-0.248,0.314,Orange
1.685,-0.33,-1.061,-0.742,Grape
1.473,-1.703,0.219,-0.391,Orange
0.813,-0.724,-0.888,-1.389,Grape
0.9,-0.816,-0.224,-0.067,Orange
0.887,-0.757,1.37,1.349,Watermelon
1.15,1.329,0.005,0.637,Apple
1.426,-1.031,0.681,0.909,Watermelon
0.484,-0.821,-0.845,-0.083,Lemon
0.514,0.429,-0.347,-0.595,Apple
0.56,-1.223,-0.567,-0.196,Orange
0.783,-1.189,-0.302,0.155,Orange
1.515,1.052,-0.221,-0.364,Apple
-0.832,1.137,-0.536,-0.361,Banana
-1.082,1.119,-1.009,-0.029,Banana
0.545,-0.718,-0.565,-0.814,Orange
-0.7,1.161,-1.041,-0.02,Banana
0.96,-0.175,-1.565,-1.547,Grape
0.78,-1.009,0.826,1.225,Watermelon
1.381,-0.502,-0.804,-0.905,Grape
1.003,-1.453,-0.66,-0.673,Orange
0.948,1.081,-0.807,-0.275,Apple
0.694,-1.374,0.781,0.608,Watermelon
1.212,-1.059,-0.015,-0.355,Orange
0.858,0.056,-1.568,-0.55,Grape
-0.421,1.268,-1.116,0.799,Banana
0.887,-1.247,0.864,0.8,Watermelon
0.669,1.389,-0.571,-0.31,Apple
0.495,-0.989,0.595,0.587,Watermelon
-1.038,1.37,-0.846,0.478,Banana
0.955,-1.117,-0.023,-0.397,Orange
1.292,1.433,-0.594,-0.543,Apple
0.809,0.487,-0.464,0.156,Apple
0.634,-0.136,-1.152,-0.26,Grape
0.361,-1.05,-0.919,-0.741,Lemon
1.468,-0.834,1.36,0.54,Watermelon
1.229,-1.34,-0.768,-0.116,Orange
1.08,-0.981,1.251,1.306,Watermelon
1.514,-1.417,1.526,1.659,Watermelon
-1.128,0.416,-1.484,0.138,Banana
1.705,1.006,-0.516,-0.54,Apple
0.137,-0.694,-0.632,0.235,Lemon
1.22,-0.31,-1.085,-1.382,Grape
0.694,0.521,0.019,-0.435,Apple
1.333,-0.552,-1.102,-1.409,Grape
-0.894,0.923,-0.684,0.05,Banana
0.816,-0.426,-0.505,-0.225,Lemon
0.8,-0.336,-0.47,-0.255,Lemon
0.987,-1.271,0.577,1.443,Watermelon
0.647,-0.739,-0.154,0.121,Orange
0.82,-0.877,-0.868,-1.102,Grape
0.569,-0.322,-0.577,-0.548,Orange
0.515,-0.561,-1.358,-0.091,Lemon
0.281,-0.907,-0.837,0.197,Lemon
1.044,-1.248,-0.405,-0.169,Orange
1.062,-0.846,1.0,0.518,Watermelon
0.881,-0.788,-0.534,0.035,Orange
-0.989,0.924,-0.582,-0.308,Banana
0.764,-0.569,0.341,0.6,Orange
1.018,1.16,-0.014,0.146,Apple
1.11,-0.676,-0.139,-0.017,Orange
-1.321,0.885,-1.183,-0.116,Banana
-1.578,0.852,-1.092,0.337,Banana
1.195,-0.534,-1.09,-1.32,Grape
1.307,-1.036,0.848,0.935,Watermelon
-1.256,0.814,-1.197,0.199,Banana
0.83,-0.858,-0.059,-0.076,Lemon
1.685,-0.804,1.19,0.829,Watermelon
1.289,-1.23,-0.815,0.334,Orange
-1.437,1.154,-1.308,0.694,Banana
1.442,-0.815,1.436,1.003,Watermelon
1.782,-0.739,-0.615,-0.176,Orange
0.947,0.912,-0.88,-0.165,Apple
-1.485,0.116,-1.12,0.035,Banana
0.698,-2.0,0.702,0.939,Watermelon
0.778,-0.864,1.487,1.181,Watermelon
1.359,1.388,-0.657,-0.146,Apple
0.948,-1.153,-0.877,-0.314,Lemon
-1.519,0.619,-1.233,0.458,Banana
-0.923,1.361,-1.323,-0.041,Banana
1.183,-1.28,-0.511,-0.85,Orange
1.102,-0.461,-0.66,0.158,Orange
-1.021,0.382,-1.313,-0.035,Banana
0.889,-0.853,1.647,0.499,Watermelon
0.83,0.686,-0.744,-0.267,Apple
1.001,-1.635,-0.294,-0.622,Orange
1.004,-0.556,-0.138,-0.138,Orange
-1.185,1.023,-0.803,0.462,Banana
0.565,-0.924,-1.061,-0.757,Lemon
1.248,1.295,-0.267,0.218,Apple
1.178,-1.082,-0.727,0.304,Orange
-0.73,1.629,-0.242,-0.15,Banana
0.55,-1.602,-0.679,-0.77,Grape
0.634,-1.429,-0.631,-0.435,Lemon
1.274,-0.904,1.232,0.957,Watermelon
1.014,-0.779,-1.015,-0.014,Lemon
1.429,-0.437,-0.902,-0.419,Grape
0.428,-0.566,0.833,1.383,Watermelon
1.042,-1.035,-1.174,-0.642,Grape
0.926,-1.218,0.78,1.225,Watermelon
1.613,-1.749,1.98,1.071,Watermelon
1.203,-1.153,0.999,1.067,Watermelon
0.633,-1.282,0.115,-0.743,Orange
1.154,0.87,-0.636,0.39,Apple
0.666,-1.396,-0.365,-0.469,Orange
1.002,-0.946,1.082,0.957,Watermelon
-1.246,1.225,-1.039,0.127,Banana
1.118,-1.042,-0.218,-0.071,Lemon
1.051,-0.758,-0.6,-0.522,Lemon
0.915,-1.358,-0.748,-0.914,Grape
1.289,-1.041,1.233,0.518,Watermelon
0.591,-1.467,-1.047,-1.27,Grape
0.684,-0.483,-1.149,-1.502,Grape
1.891,0.987,-0.679,-0.534,Apple
0.939,-1.061,1.456,0.972,Watermelon
1.249,-1.151,-0.451,-0.142,Lemon
1.418,-0.541,-0.395,-0.202,Orange
0.132,-1.069,1.382,1.314,Watermelon
-1.03,1.595,-1.134,0.049,Banana
0.836,-1.393,-0.082,-0.099,Orange
1.213,-1.145,0.98,0.238,Watermelon
-0.868,1.035,-1.385,0.263,Banana
0.91,-0.382,-0.671,-0.084,Orange
0.218,-1.195,-0.503,-0.574,Lemon
0.998,-0.884,0.827,1.309,Watermelon
0.893,0.966,-0.174,-0.221,Apple
0.825,-0.889,-0.436,-0.614,Lemon
0.626,-1.1,-1.585,-0.383,Grape
-0.174,-0.582,-0.887,-0.085,Lemon
-1.771,0.918,-0.491,0.55,Banana
0.882,-1.28,-1.463,-0.514,Grape
0.478,-1.025,-0.501,-0.956,Lemon
-0.857,0.853,-0.897,0.098,Banana
0.449,-1.15,-0.076,-0.062,Orange
1.011,1.314,-0.371,-0.28,Apple
0.832,-0.665,-0.198,-0.395,Orange
-1.521,1.387,-1.26,0.325,Banana
1.423,-0.719,-0.036,-0.688,Lemon
0.975,-0.991,-0.472,0.207,Lemon
0.902,-0.993,-0.616,0.111,Orange
0.804,-0.242,-1.577,-0.808,Grape
0.775,-0.744,-0.305,-0.387,Orange
0.865,-0.898,-0.707,-1.367,Grape
0.907,1.121,0.265,-0.303,Apple
0.915,-0.904,-1.026,-0.62,Orange
0.869,-1.25,0.44,1.3,Watermelon
1.091,1.049,-0.543,-0.272,Apple
-0.82,0.907,-0.844,0.021,Banana
-0.966,1.4,-0.569,0.765,Banana
-0.9,1.011,-1.157,-0.333,Banana
0.129,-1.059,-0.638,-0.006,Lemon
1.46,-1.24,1.286,0.833,Watermelon
1.239,-0.318,-0.565,-1.172,Grape
0.955,-1.655,-0.146,-0.509,Lemon
0.999,-1.713,0.864,1.474,Watermelon
0.851,1.25,-0.288,0.072,Apple
1.067,0.674,-0.28,0.26,Apple
1.174,-1.041,0.49,0.206,Orange
1.286,-0.489,-0.744,-0.733,Grape
0.236,-0.862,-0.356,-0.375,Orange
0.932,-1.545,-0.932,0.236,Orange
1.162,-1.845,-0.502,0.108,Orange
0.902,-0.164,-0.633,-1.475,Grape
0.95,0.843,-0.786,-0.809,Apple
0.718,-1.224,-0.201,0.165,Orange
0.78,-0.737,-0.693,-0.289,Lemon
0.948,-0.755,-0.336,-1.816,Grape
-0.056,-0.866,-0.693,-1.003,Lemon
0.631,-0.924,-0.688,-0.576,Grape
1.574,-1.556,-0.778,-0.702,Orange
